"Ticker","Name","Price","Dividend Yield","Market Cap ($M)","P/E Ratio","Payout Ratio","Beta"
"MXIM","Maxim Integrated Products, Inc.","59.55","3.1","16,114","21.1","65.9","1.36"
"MYL","Mylan NV","17.61","0.0","9,084","200.6","0.0","1.52"
"NBL","Noble Energy, Inc.","21.43","2.1","10,248","-11.1","-23.4","1.52"
"NCLH","Norwegian Cruise Line Holdings Ltd.","51.82","0.0","11,172","11.6","0.0","1.11"
"NDAQ","Nasdaq, Inc.","100.66","1.8","16,577","31.6","57.1","0.83"
"NEE","NextEra Energy, Inc.","222.08","2.2","108,547","33.1","72.5","0.21"
"NEM","Newmont Goldcorp Corp.","36.61","1.5","30,016","13.1","20.1","-0.04"
"NFLX","Netflix, Inc.","291.57","0.0","127,780","90.0","0.0","1.54"
"NI","NiSource, Inc.","26.41","3.0","9,865","21.4","64.4","0.34"
"NKE","NIKE, Inc.","89.81","1.0","140,196","32.7","32.1","1.10"
"NKTR","Nektar Therapeutics","20.04","0.0","3,512","-8.2","0.0","1.61"
"NLSN","Nielsen Holdings Plc","20.35","6.9","7,237","-10.5","-72.2","0.99"
"NOC","Northrop Grumman Corp.","350.11","1.4","59,005","18.0","25.9","0.79"
"NOV","National Oilwell Varco, Inc.","23.38","0.9","9,020","-1.6","-1.3","1.29"
"NRG","NRG Energy, Inc.","38.44","0.3","9,724","21.1","6.6","0.73"
"NSC","Norfolk Southern Corp.","195.44","1.8","50,960","18.9","33.5","1.12"
"NTAP","NetApp, Inc.","59.41","2.8","14,134","14.9","42.2","1.46"
"NTRS","Northern Trust Corp.","107.65","2.3","22,809","15.9","36.3","1.15"
"NUE","Nucor Corp.","55.56","2.9","16,843","9.5","27.3","1.15"
"NVDA","NVIDIA Corp.","207.78","0.3","126,538","46.1","14.0","2.04"
"NWL","Newell Brands, Inc.","20.37","4.5","8,624","-10.6","-47.9","1.10"
"NWS","News Corp.","13.23","1.5","7,780","49.9","75.4","0.97"
